檔案路徑,台詞,備註
audio/game/how_to_play_picture.mp3,看圖片，按喇叭聽詞語，再選出詞語開頭的注音。,看圖找聲音玩法說明
audio/game/words/01_beibao.mp3,背包,ㄅ 的例詞
audio/game/words/02_paopao.mp3,泡泡,ㄆ 的例詞
audio/game/words/03_ma.mp3,馬,ㄇ 的例詞
audio/game/words/04_feiji.mp3,飛機,ㄈ 的例詞
audio/game/words/05_dan.mp3,蛋,ㄉ 的例詞
audio/game/words/06_tuzi.mp3,兔子,ㄊ 的例詞
audio/game/words/07_niao.mp3,鳥,ㄋ 的例詞
audio/game/words/08_laohu.mp3,老虎,ㄌ 的例詞
audio/game/words/09_gou.mp3,狗,ㄍ 的例詞
audio/game/words/10_kou.mp3,口,ㄎ 的例詞
audio/game/words/11_hua.mp3,花,ㄏ 的例詞
audio/game/words/12_ji.mp3,雞,ㄐ 的例詞
audio/game/words/13_qiu.mp3,球,ㄑ 的例詞
audio/game/words/14_xigua.mp3,西瓜,ㄒ 的例詞
audio/game/words/15_zhu.mp3,豬,ㄓ 的例詞
audio/game/words/16_che.mp3,車,ㄔ 的例詞
audio/game/words/17_she.mp3,蛇,ㄕ 的例詞
audio/game/words/18_rou.mp3,肉,ㄖ 的例詞
audio/game/words/19_zise.mp3,紫色,ㄗ 的例詞
audio/game/words/20_cao.mp3,草,ㄘ 的例詞
audio/game/words/21_saodi.mp3,掃地,ㄙ 的例詞
