檔案路徑,台詞,備註
audio/common/correct_1.mp3,答對了！你好棒！,答對回饋
audio/common/correct_2.mp3,太厲害了！,答對回饋
audio/common/correct_3.mp3,完美！繼續加油！,答對回饋
audio/common/correct_4.mp3,你真的很聰明！,答對回饋
audio/common/wrong_1.mp3,沒關係，再試一次！,答錯回饋
audio/common/wrong_2.mp3,加油！你可以的！,答錯回饋
audio/common/wrong_3.mp3,仔細看看，再試一次！,答錯回饋
audio/common/skip.mp3,跳過囉，下一題！,跳過
audio/common/levelup.mp3,哇！升級了！越來越厲害！,升級提示
audio/common/leveldown.mp3,沒關係，繼續練習就會進步！,降級提示
audio/numbers/1.mp3,一,數字
audio/numbers/2.mp3,二,數字
audio/numbers/3.mp3,三,數字
audio/numbers/4.mp3,四,數字
audio/numbers/5.mp3,五,數字
audio/numbers/6.mp3,六,數字
audio/numbers/7.mp3,七,數字
audio/numbers/8.mp3,八,數字
audio/numbers/9.mp3,九,數字
audio/numbers/10.mp3,十,數字
audio/numbers/11.mp3,十一,數字
audio/numbers/12.mp3,十二,數字
audio/numbers/13.mp3,十三,數字
audio/numbers/14.mp3,十四,數字
audio/numbers/15.mp3,十五,數字
audio/numbers/16.mp3,十六,數字
audio/numbers/17.mp3,十七,數字
audio/numbers/18.mp3,十八,數字
audio/numbers/19.mp3,十九,數字
audio/numbers/20.mp3,二十,數字
audio/numbers/21.mp3,二十一,數字
audio/numbers/22.mp3,二十二,數字
audio/numbers/23.mp3,二十三,數字
audio/numbers/24.mp3,二十四,數字
audio/numbers/25.mp3,二十五,數字
audio/numbers/26.mp3,二十六,數字
audio/numbers/27.mp3,二十七,數字
audio/numbers/28.mp3,二十八,數字
audio/numbers/29.mp3,二十九,數字
audio/numbers/30.mp3,三十,數字
audio/numbers/31.mp3,三十一,數字
audio/numbers/32.mp3,三十二,數字
audio/numbers/33.mp3,三十三,數字
audio/numbers/34.mp3,三十四,數字
audio/numbers/35.mp3,三十五,數字
audio/numbers/36.mp3,三十六,數字
audio/numbers/37.mp3,三十七,數字
audio/numbers/38.mp3,三十八,數字
audio/numbers/39.mp3,三十九,數字
audio/numbers/40.mp3,四十,數字
audio/numbers/41.mp3,四十一,數字
audio/numbers/42.mp3,四十二,數字
audio/numbers/43.mp3,四十三,數字
audio/numbers/44.mp3,四十四,數字
audio/numbers/45.mp3,四十五,數字
audio/numbers/46.mp3,四十六,數字
audio/numbers/47.mp3,四十七,數字
audio/numbers/48.mp3,四十八,數字
audio/numbers/49.mp3,四十九,數字
audio/numbers/50.mp3,五十,數字
audio/numbers/51.mp3,五十一,數字
audio/numbers/52.mp3,五十二,數字
audio/numbers/53.mp3,五十三,數字
audio/numbers/54.mp3,五十四,數字
audio/numbers/55.mp3,五十五,數字
audio/numbers/56.mp3,五十六,數字
audio/numbers/57.mp3,五十七,數字
audio/numbers/58.mp3,五十八,數字
audio/numbers/59.mp3,五十九,數字
audio/numbers/60.mp3,六十,數字
audio/numbers/61.mp3,六十一,數字
audio/numbers/62.mp3,六十二,數字
audio/numbers/63.mp3,六十三,數字
audio/numbers/64.mp3,六十四,數字
audio/numbers/65.mp3,六十五,數字
audio/numbers/66.mp3,六十六,數字
audio/numbers/67.mp3,六十七,數字
audio/numbers/68.mp3,六十八,數字
audio/numbers/69.mp3,六十九,數字
audio/numbers/70.mp3,七十,數字
audio/numbers/71.mp3,七十一,數字
audio/numbers/72.mp3,七十二,數字
audio/numbers/73.mp3,七十三,數字
audio/numbers/74.mp3,七十四,數字
audio/numbers/75.mp3,七十五,數字
audio/numbers/76.mp3,七十六,數字
audio/numbers/77.mp3,七十七,數字
audio/numbers/78.mp3,七十八,數字
audio/numbers/79.mp3,七十九,數字
audio/numbers/80.mp3,八十,數字
audio/numbers/81.mp3,八十一,數字
audio/numbers/82.mp3,八十二,數字
audio/numbers/83.mp3,八十三,數字
audio/numbers/84.mp3,八十四,數字
audio/numbers/85.mp3,八十五,數字
audio/numbers/86.mp3,八十六,數字
audio/numbers/87.mp3,八十七,數字
audio/numbers/88.mp3,八十八,數字
audio/numbers/89.mp3,八十九,數字
audio/numbers/90.mp3,九十,數字
audio/numbers/91.mp3,九十一,數字
audio/numbers/92.mp3,九十二,數字
audio/numbers/93.mp3,九十三,數字
audio/numbers/94.mp3,九十四,數字
audio/numbers/95.mp3,九十五,數字
audio/numbers/96.mp3,九十六,數字
audio/numbers/97.mp3,九十七,數字
audio/numbers/98.mp3,九十八,數字
audio/numbers/99.mp3,九十九,數字
audio/numbers/100.mp3,一百,數字
audio/operators/plus.mp3,加,運算符號
audio/operators/minus.mp3,減,運算符號
audio/operators/equals.mp3,等於,運算符號
audio/operators/question.mp3,幾？,運算符號
audio/counting/question.mp3,數一數，總共有幾個？,數數字題目
audio/counting/correct_answer.mp3,答對了！總共有,數數字答對前綴
audio/addition/question.mp3,加在一起是幾個？,加法題目
audio/subtraction/question.mp3,帶走之後，還剩幾個？,減法題目
audio/mixed/question_add.mp3,加在一起是幾個？,綜合加法題目
audio/mixed/question_sub.mp3,帶走之後，還剩幾個？,綜合減法題目
audio/shapes/question_shape.mp3,這是什麼形狀？,形狀題目
audio/shapes/question_color.mp3,這個形狀是什麼顏色？,顏色題目
audio/shapes/circle.mp3,圓形,形狀名稱
audio/shapes/square.mp3,正方形,形狀名稱
audio/shapes/triangle.mp3,三角形,形狀名稱
audio/shapes/star.mp3,星形,形狀名稱
audio/shapes/diamond.mp3,菱形,形狀名稱
audio/shapes/rectangle.mp3,長方形,形狀名稱
audio/shapes/pentagon.mp3,五邊形,形狀名稱
audio/shapes/hexagon.mp3,六邊形,形狀名稱
audio/shapes/oval.mp3,橢圓形,形狀名稱
audio/shapes/red.mp3,紅色,顏色名稱
audio/shapes/orange.mp3,橘色,顏色名稱
audio/shapes/yellow.mp3,黃色,顏色名稱
audio/shapes/green.mp3,綠色,顏色名稱
audio/shapes/blue.mp3,藍色,顏色名稱
audio/shapes/purple.mp3,紫色,顏色名稱
audio/shapes/teal.mp3,青綠色,顏色名稱
audio/shapes/peach.mp3,橙色,顏色名稱
